id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1152818112491833127,Angelico Comfort Apartament,89277071,Lorenzo,,Campo di Marte,43.7682551,11.2737633,Entire home/apt,137,1,0,,,60,227,0,048017LTN14712
1152829809888322939,[5 min dal centro] Elegant Suite con Jacuzzi,527558168,Nadia,,Rifredi,43.8013815,11.233963,Entire home/apt,99,1,6,2024-06-20,6,1,195,6,
1152859688909516730,Rucellai apartment 1 bedroom,4156491,Apartments Florence,,Centro Storico,43.7748622,11.2417748,Entire home/apt,198,1,0,,,79,46,0,048017LTN7364
1152949464204305811,Mini monolocale nel cuore di Santa Croce,404681398,Sara,,Centro Storico,43.76722,11.26527,Entire home/apt,80,1,1,2024-05-17,0.81,2,250,1,
1153009273656799725,Appartamento Mami's Firenze,2060056,Nazret,,Rifredi,43.7946835,11.236639,Entire home/apt,91,2,3,2024-06-12,3,1,241,3,
1153068961058529242,Nice Apartment Historic-centre.,348954552,Claudio,,Centro Storico,43.768694983218,11.244386807084084,Entire home/apt,168,5,0,,,2,179,0,
1153278990145398432,Pergola One Romantic Florentine Apt by Oteego,184979883,Sea N' Rent,,Centro Storico,43.7752953,11.263097,Entire home/apt,195,1,0,,,14,361,0,
1153353628658765950,Fanciful 2-BR outside ZTL,152791899,Federico,,Centro Storico,43.78607439484523,11.239101601963954,Entire home/apt,9274,28,0,,,16,270,0,048017LTI14898
1153495485982846844,Guido Monaco,23904874,Edoardo E Michela,,Centro Storico,43.78167126490556,11.243097211815048,Entire home/apt,137,2,0,,,251,347,0,
1153552005433161735,Palmieri Luxury Apartment,410643922,Alessandra,,Centro Storico,43.77132627367506,11.261414171163956,Entire home/apt,360,1,0,,,4,191,0,CIR 048027LT6295
1153575532231727753,Casa Gialla,23904874,Edoardo E Michela,,Centro Storico,43.77648850997679,11.255315413658748,Entire home/apt,147,2,4,2024-06-14,4,251,355,4,
1153745952222305006,Brunelleschi room,499870328,Residenza,,Rifredi,43.79596601708486,11.232229355784055,Private room,58,2,2,2024-06-16,2,5,253,2,
1153837348167932348,Villa Giulia,499870328,Residenza,,Rifredi,43.79543086039372,11.232415084231189,Entire home/apt,300,2,0,,,5,224,0,
1153845308244505868,Botticelli room,499870328,Residenza,,Rifredi,43.79796,11.22767,Private room,50,2,3,2024-06-20,3,5,227,3,
1153851691222904676,Raffaello room,499870328,Residenza,,Rifredi,43.7969701,11.2288473,Private room,59,2,2,2024-06-17,2,5,256,2,
1154064446238542115,Appartamento in Centro (Duomo),221355830,Tereza,,Centro Storico,43.77341578256891,11.258893138623032,Entire home/apt,300,2,2,2024-06-16,2,2,69,2,
1154175317599418319,Camera  matrimoniale wifi,574001045,Fabio,,Campo di Marte,43.77243241152812,11.277856285180658,Private room,60,31,0,,,4,223,0,
1154183726014876497,Camera 2 letti singoli wifi,574001045,Fabio,,Campo di Marte,43.77218449999999,11.2784571,Private room,60,31,0,,,4,310,0,
1154189997411881313,"Camera matrimoniale, bagno, wifi",574001045,Fabio,,Campo di Marte,43.77291180616066,11.277409963549607,Private room,70,31,0,,,4,173,0,
1154214333701673213,Sant'Anna Apartment,340605158,Rosa,,Centro Storico,43.780902262177776,11.260485469311536,Entire home/apt,170,2,7,2024-06-11,6.00,3,205,7,Cir. 048017LTN14660
1154367129951734524,Delizioso monolocale.,10992509,Mariaflavia,,Rifredi,43.7877431,11.2500469,Entire home/apt,81,3,4,2024-06-19,4,4,230,4,
1154379216518460869,piccolo attico vicino al centro,117073110,Luisella,,Campo di Marte,43.78676328711559,11.282979771494865,Entire home/apt,80,2,0,,,1,144,0,
1154911799235528545,Casa Aretina,577113759,Marco,,Campo di Marte,43.76679,11.30436,Entire home/apt,82,2,4,2024-06-18,3.64,1,154,4,
1154933295680094317,Streets of Florence in a room,67879625,Tommaso,,Rifredi,43.7914004010005,11.253436245024204,Private room,56,2,0,,,2,64,0,
1154974268179204218,La Giraffa Appartamento a Firenze,577129267,Chiara,,Campo di Marte,43.7881039,11.2711238,Entire home/apt,103,2,0,,,1,262,0,CIR 048017LTN14556
1154976694978319446,Sunny quiet room in Santo,3865639,Andrea,,Centro Storico,43.76536,11.24668,Private room,93,2,2,2024-06-14,2,2,54,2,
1154979586883831932,Appartamento a Firenze,342060764,Gaia,,Rifredi,43.7953145253675,11.240515101436598,Entire home/apt,90,3,4,2024-06-17,4,1,277,4,
1155059097100356829,Sweet Living La Pergola,24434157,Mattia,,Centro Storico,43.7749769526435,11.262930111193732,Entire home/apt,126,2,5,2024-06-17,5,19,324,5,
1155183654312153482,Casa Pegote,577197311,Mariacostanza,,Campo di Marte,43.78090397385338,11.278026370792688,Entire home/apt,139,1,2,2024-06-16,1.87,1,269,2,
1155246434312967376,Stanza Brunelleschi,185340925,Cristina,,Centro Storico,43.77492,11.24985,Private room,,1,0,,,4,241,0,
1155474063309993058,A Casa di Sara 3,521070343,Holidu,,Centro Storico,43.7846059,11.2394578,Entire home/apt,105,1,0,,,3,364,0,
1155498930487984785,Depandance Oltrarno,2965309,Carlotta,,Centro Storico,43.7644202,11.2437745,Entire home/apt,177,1,0,,,1,242,0,
1155589691611608788,DellaRobbia sunny corner - relax & charme,3297213,Alessandra,,Campo di Marte,43.7777701,11.2702882,Entire home/apt,261,1,1,2024-05-26,1,2,261,1,
1155599476662481279,Unique Apartment Florence Wi-Fi,577286839,Filippo,,Centro Storico,43.7767772,11.2535175,Entire home/apt,95,1,11,2024-06-20,8.68,1,216,11,
1155662841029879597,Camera singola in centro,7638341,Stefania,,Campo di Marte,43.769625697003384,11.276706762406828,Private room,57,2,3,2024-06-18,2.43,8,232,3,
1155749421120019370,[5 min da Porta al Prato] Flat with Terrace,507741766,Thomas,,Centro Storico,43.78118282667078,11.233926897621744,Entire home/apt,128,1,10,2024-06-21,8.11,1,265,10,048017LTN14790
1155763786478557520,"Villino il ""Bronzino"" nel Cuore Storico di Firenze",576611221,Maurizio,,Centro Storico,43.78163,11.25591,Entire home/apt,151,1,2,2024-06-13,2,1,365,2,
1155776136350906570,Rifugio vista Duomo,484080355,Luigi,,Centro Storico,43.77263027869663,11.254441366270438,Entire home/apt,114,2,0,,,1,215,0,
1155905763704242371,Room with private bathroom,8854025,Denis,,Centro Storico,43.7648484,11.2455382,Private room,117,2,5,2024-06-14,4.17,1,192,5,
1156270762440229648,Panoramico Appartamento,152819007,Marco,,Isolotto Legnaia,43.775063077485214,11.199218338804693,Entire home/apt,178,2,2,2024-05-31,2,1,261,2,
1156306990413578179,Libertà,23904874,Edoardo E Michela,,Campo di Marte,43.78601064365295,11.262204410113354,Entire home/apt,213,2,0,,,251,95,0,
1156310132364927907,Cobalt Cove 2 bedrooms,65222778,Apartments_Florence,,Centro Storico,43.77866360000001,11.2406433,Entire home/apt,246,1,0,,,36,300,0,048017LTN14639
1156321581368530606,Appartamento dei Nobili,6711285,Cosimo,,Campo di Marte,43.78308879999999,11.2797235,Entire home/apt,145,1,4,2024-06-17,4,2,88,4,
1156425861183891935,Ippopotamo,23904874,Edoardo E Michela,,Campo di Marte,43.76872332339351,11.273867351111509,Entire home/apt,355,2,2,2024-06-17,2,251,317,2,
1156475437328898021,rental palazzo vecchio firenze,577521581,Vincenzo,,Centro Storico,43.7679609,11.2569623,Entire home/apt,125,2,0,,,1,261,0,
1156485028890738197,Casa Sorelle Flo-Firenze,24321628,Barbara,,Centro Storico,43.7790226,11.2386315,Entire home/apt,161,1,3,2024-06-03,3,22,163,3,048017LTI8710
1156628410171239456,Stanza Leonardo da Vinci,185340925,Cristina,,Centro Storico,43.7741655126853,11.250856215205376,Private room,192,1,0,,,4,224,0,
1156630688309805268,Florence - 4 bedrooms apt in the city center,398620338,Costanza,,Campo di Marte,43.7658,11.27753,Entire home/apt,300,4,0,,,1,74,0,
1156995313934406348,Rinuccini18 vicino Parco Cascine e Centro Storico,79086526,Sara,,Centro Storico,43.78389,11.22911,Entire home/apt,112,2,1,2024-06-14,1,1,260,1,
1157000619329932709,Monolocale famigliare,482053889,Carlos,,Centro Storico,43.76893,11.24584,Entire home/apt,165,3,1,2024-05-26,1,7,179,1,
1157031615305534355,La casa di Gaia { self check-in },229286356,Luce,,Centro Storico,43.78145209770077,11.261561017356737,Entire home/apt,129,3,4,2024-05-31,3.75,7,80,4,
