Unnamed: 0,hhid,intmonth,stfips,weight,earnwke,uhours,grade92,race,ethnic,age,sex,marital,ownchild,chldpres,prcitshp,state,ind02,occ2012,class,unionmme,unioncov,lfsr94,female,w,lnw
122934,373947405083818,May,ND,479.7619,288.75,33,39,1,,31,2,1,2,3,"Native, Born In US",4,Elementary and secondary schools (6111),2540,Government - Local,Yes,,Employed-At Work,1,8.75,2.169053700369523
123960,100906095843949,May,OK,2461.0475,1000.0,40,39,1,,52,2,1,0,0,"Native, Born In US",7,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,1,25.0,3.2188758248682006
124294,996061998479730,May,OR,2291.3269,2032.0,40,43,1,,29,1,7,0,0,"Native, Born In US",9,Elementary and secondary schools (6111),2540,Government - State,Yes,,Employed-At Work,0,50.8,3.927896354584436
126065,803608354898876,May,SD,283.0106,1666.0,40,40,1,,56,2,1,0,0,"Native, Born In US",4,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,1,41.65,3.7293013686128518
126165,86564360993594,May,SD,281.6782,408.5,40,41,1,,55,2,5,0,0,"Native, Born In US",4,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,1,10.2125,2.3236124601861214
126272,716039670097406,May,SD,550.3607,344.0,32,43,1,,32,2,1,2,3,"Native, Born In US",4,Elementary and secondary schools (6111),2540,Government - Local,No,Yes,Employed-At Work,1,10.75,2.3749057545736716
126469,499993905038748,May,TN,3157.1017,442.3,43,43,1,,55,2,1,0,0,"Native, Born In US",6,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,1,10.286046511627907,2.3307882691807187
127467,490947904079825,May,TX,3437.7541,335.61,38,43,1,,45,2,5,2,3,"Native, Born In US",7,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,1,8.831842105263158,2.178363611800563
127638,884530077001002,May,TX,3118.6193,346.15,40,40,1,,42,2,1,0,0,"Native, Born In US",7,Elementary and secondary schools (6111),2540,Government - Local,Yes,,Employed-At Work,1,8.653749999999999,2.157992753010098
127988,33784380991798,May,TX,3449.1023,250.0,25,39,1,,29,2,1,2,8,"Native, Born In US",7,Elementary and secondary schools (6111),2540,"Private, Nonprofit",No,No,Employed-At Work,1,10.0,2.302585092994046
128525,270903061553149,May,VT,353.9088,190.0,30,40,1,8.0,60,1,1,0,0,"Native, Born In US",1,Elementary and secondary schools (6111),2540,Government - Local,No,Yes,Employed-At Work,0,6.333333333333333,1.8458266904983307
128552,350900098253379,May,VT,313.8497,519.23,40,39,1,,56,2,1,0,0,"Native, Born In US",1,Elementary and secondary schools (6111),2540,Government - Local,Yes,,Employed-At Work,1,12.98075,2.5634674908085238
128576,568453001060069,May,VT,353.5901,645.44,32,44,1,,32,2,1,0,0,"Native, Born In US",1,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,1,20.17,3.0041963519661206
129299,720917072957569,May,VA,2666.9215,400.0,40,40,1,,18,2,7,0,0,"Native, Born In US",5,Child day care services (6244),2540,"Private, For Profit",No,No,Employed-At Work,1,10.0,2.302585092994046
129546,502047801027331,May,WA,2632.9182,416.0,32,39,1,,42,2,1,1,3,"Native, Born In US",9,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,1,13.0,2.5649493574615367
129621,920053925539160,May,WA,2761.1966,200.0,20,40,1,,32,2,7,1,2,"Native, Born In US",9,"Colleges and universities, including junior colleges (6112, 6113)",2540,Government - Local,No,No,Employed-At Work,1,10.0,2.302585092994046
